Kp_Neg,Ki_Neg,Rise_Time_s,Overshoot_kPa
-60.0,-800.0,1.2087039947509766,3.18
-60.0,-1200.0,1.2597296237945557,2.87
-60.0,-1600.0,1.2607388496398926,2.67
-60.0,-2000.0,1.2825093269348145,2.59
-80.0,-800.0,1.279468297958374,2.71
-80.0,-1200.0,1.2283167839050293,3.12
-80.0,-1600.0,1.2641007900238037,2.77
-80.0,-2000.0,1.2348551750183105,3.03
-100.0,-800.0,1.2689030170440674,2.71
-100.0,-1200.0,1.2607436180114746,2.79
-100.0,-1600.0,0.8698253631591797,2.59
-100.0,-2000.0,1.2701635360717773,2.47
-120.0,-800.0,1.241976261138916,2.89
-120.0,-1200.0,1.2057914733886719,3.45
-120.0,-1600.0,1.0159082412719727,3.59
-120.0,-2000.0,1.1170763969421387,3.67
