Timestamp_s,Setpoint_kPa,Feedback_kPa,PWM_Main,PWM_Aux,Error_Norm
0.0002,15.0,-0.294,0,0,0.290
0.0504,15.0,-0.044,255,0,15.040
0.1004,15.0,1.956,255,0,13.040
0.1505,15.0,3.313,255,0,12.140
0.2006,15.0,4.050,251,0,10.940
0.2506,15.0,4.738,255,0,10.260
0.3007,15.0,5.869,255,0,9.130
0.3508,15.0,6.569,255,0,8.430
0.4009,15.0,7.425,255,0,7.830
0.4509,15.0,8.075,255,0,6.920
0.5010,15.0,8.838,255,0,6.160
0.5511,15.0,9.656,254,0,5.770
0.6012,15.0,10.106,255,0,4.890
0.6513,15.0,10.650,250,0,4.340
0.7019,15.0,11.419,255,0,3.890
0.7520,15.0,11.769,255,0,3.230
0.8021,15.0,12.419,255,0,2.580
0.8521,15.0,13.113,252,0,1.880
0.9022,15.0,13.500,252,0,1.490
0.9523,15.0,13.894,255,0,1.100
1.0024,15.0,14.475,250,0,0.580
1.0525,15.0,14.975,245,0,0.020
1.1026,15.0,15.288,240,0,-0.280
1.1527,15.0,15.838,232,0,-0.680
1.2028,15.0,16.156,218,0,-1.150
1.2529,15.0,16.406,207,0,-1.400
1.3029,15.0,16.856,193,0,-1.710
1.3530,15.0,17.100,171,0,-2.100
1.4031,15.0,17.344,155,0,-2.260
1.4532,15.0,17.531,130,0,-2.530
1.5033,15.0,17.644,113,0,-2.640
1.5535,15.0,17.619,98,0,-2.610
1.6036,15.0,17.563,75,0,-2.560
1.6537,15.0,17.394,63,0,-2.390
1.7038,15.0,17.125,51,0,-2.210
1.7539,15.0,16.988,36,0,-1.980
1.8039,15.0,16.869,26,0,-1.860
1.8540,15.0,16.744,17,0,-1.740
1.9041,15.0,16.594,8,0,-1.630
1.9542,15.0,16.463,0,0,-1.460
2.0043,15.0,16.325,0,0,-1.320
2.0544,15.0,16.194,0,0,-1.230
2.1045,15.0,16.063,0,0,-1.060
2.1546,15.0,15.994,0,0,-0.990
2.2047,15.0,15.813,0,0,-0.850
2.2548,15.0,15.731,0,0,-0.730
2.3049,15.0,15.663,0,0,-0.660
2.3550,15.0,15.506,0,0,-0.530
2.4051,15.0,15.394,0,0,-0.390
2.4552,15.0,15.331,0,0,-0.330
2.5053,15.0,15.213,0,0,-0.210
2.5554,15.0,15.144,0,0,-0.140
2.6055,15.0,15.069,0,0,-0.060
2.6556,15.0,14.925,2,0,0.070
2.7057,15.0,14.844,4,0,0.150
2.7557,15.0,14.731,7,0,0.260
2.8058,15.0,14.644,11,0,0.350
2.8559,15.0,14.613,14,0,0.380
2.9060,15.0,14.475,18,0,0.530
2.9561,15.0,14.381,25,0,0.610
3.0062,15.0,14.269,30,0,0.730
3.0562,15.0,14.206,35,0,0.790
3.1063,15.0,14.144,44,0,0.850
3.1564,15.0,14.025,51,0,0.970
3.2065,15.0,13.944,58,0,1.050
3.2566,15.0,13.881,69,0,1.110
3.3067,15.0,13.744,77,0,1.190
3.3568,15.0,13.688,89,0,1.310
3.4068,15.0,13.613,99,0,1.380
3.4569,15.0,13.550,108,0,1.440
3.5070,15.0,13.488,122,0,1.510
3.5571,15.0,13.419,132,0,1.580
3.6071,15.0,13.313,143,0,1.670
3.6572,15.0,13.513,155,0,1.480
3.7073,15.0,13.806,159,0,1.190
3.7574,15.0,14.238,162,0,0.760
3.8075,15.0,14.544,162,0,0.450
3.8576,15.0,14.938,160,0,0.180
3.9079,15.0,15.206,155,0,-0.200
3.9580,15.0,15.444,150,0,-0.440
4.0081,15.0,15.738,144,0,-0.640
4.0582,15.0,15.875,134,0,-0.870
4.1083,15.0,16.056,125,0,-1.050
4.1584,15.0,16.256,116,0,-1.200
4.2085,15.0,16.225,105,0,-1.220
4.2585,15.0,16.288,96,0,-1.280
4.3086,15.0,16.344,88,0,-1.320
4.3587,15.0,16.175,78,0,-1.170
4.4088,15.0,16.069,73,0,-1.060
4.4589,15.0,15.900,69,0,-0.930
4.5089,15.0,15.813,63,0,-0.810
4.5590,15.0,15.688,60,0,-0.680
4.6091,15.0,15.556,57,0,-0.600
4.6592,15.0,15.469,54,0,-0.460
4.7092,15.0,15.406,52,0,-0.400
4.7593,15.0,15.275,52,0,-0.280
4.8095,15.0,15.194,51,0,-0.190
4.8596,15.0,15.081,52,0,-0.080
4.9097,15.0,14.994,52,0,0.000
4.9598,15.0,14.894,54,0,0.100
